City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,dombarovskiy,50.7587,59.5386,47.95,63,100,5.39,RU,1681916036
218,antofagasta,-23.65,-70.4,65.48,63,40,7.67,CL,1681916037
219,chernyshevskiy,63.0128,112.4714,15.67,89,100,7.7,RU,1681916037
220,peace river,56.2501,-117.286,38.66,82,75,12.66,CA,1681916037
221,aktau,43.65,51.2,64.98,20,97,16.67,KZ,1681916038
222,ushuaia,-54.8,-68.3,49.66,62,20,17.27,AR,1681915924
223,cova figueira,14.8905,-24.2934,69.87,76,100,18.86,CV,1681916038
224,sangin,32.0728,64.8359,72.73,17,0,12.73,AF,1681916038
225,rongelap,11.1635,166.8941,79.84,80,100,21.5,MH,1681916038
226,sarkad,46.75,21.3833,61.36,63,92,9.22,HU,1681916039
227,arraial do cabo,-22.9661,-42.0278,76.86,88,100,17.27,BR,1681916039
228,port macquarie,-31.4333,152.9167,59.9,82,60,5.1,AU,1681916039
229,lompoc,34.6391,-120.4579,50.85,68,20,18.01,US,1681915795
230,abepura,-2.6333,140.5833,77.81,89,20,5.75,ID,1681916040
231,teguise,29.0605,-13.564,70.02,49,20,16.11,ES,1681916040
232,turkmenbasy,40.0222,52.9552,74.17,10,0,11.5,TM,1681916040
233,sidney,-33.8679,151.2073,66.63,82,75,9.22,AU,1681915753
234,minas de marcona,-15.2119,-75.1103,67.93,60,5,12.48,PE,1681916041
235,witu,-2.3889,40.4382,84.36,76,95,12.37,KE,1681916041
236,kebili,33.7044,8.969,89.38,13,72,9.78,TN,1681916041
237,chateaubelair,13.2833,-61.25,82.92,65,40,11.5,VC,1681916042
238,badger,64.8,-147.5333,17.47,73,40,11.5,US,1681916042
239,rumoi,43.9344,141.6428,43.86,89,93,8.61,JP,1681916043
240,dilling,12.05,29.65,99.14,5,3,9.71,SD,1681916043
241,doma,8.3833,8.35,102.49,28,85,3.94,NG,1681916044
242,sittwe,20.15,92.9,82.89,84,6,4.09,MM,1681916044
243,yoloten,37.2989,62.3597,62.06,13,0,9.48,TM,1681916044
244,vadso,70.0744,29.7487,43.68,70,75,24.16,NO,1681916044
245,silifke,36.3778,33.9344,69.13,66,89,8.43,TR,1681916045
246,palmer,42.1584,-72.3287,46.65,53,100,16.11,US,1681916045
247,nyagan,62.1406,65.3936,31.24,92,30,6.98,RU,1681916045
248,belyy yar,53.6039,91.3903,28.29,50,0,6.71,RU,1681916046
249,new norfolk,-42.7826,147.0587,49.91,75,62,1.01,AU,1681916046
250,port elizabeth,-33.918,25.5701,79.11,68,0,10.36,ZA,1681916047
251,chinchilla,-26.75,150.6333,62.17,75,64,9.69,AU,1681916047
252,fortuna,40.5982,-124.1573,43.36,94,30,4.0,US,1681916047
253,toppenish,46.3774,-120.3087,44.02,61,100,3.49,US,1681916048
254,miguel ahumada,30.6167,-106.5167,65.8,20,90,5.46,MX,1681916048
255,fale old settlement,-9.3852,-171.2468,81.97,72,79,2.44,TK,1681916049
256,uturoa,-16.7333,-151.4333,81.64,79,97,14.27,PF,1681916049
257,anadyr,64.75,177.4833,25.3,93,100,13.42,RU,1681916050
258,al ghayzah,16.2079,52.176,83.77,59,5,13.06,YE,1681916051
259,san martin,-33.081,-68.4681,68.54,17,5,2.93,AR,1681916051
260,de forest,43.2478,-89.3437,41.79,79,100,13.8,US,1681916051
261,akrehamn,59.2667,5.1833,52.05,54,0,13.8,NO,1681916052
262,camiri,-20.05,-63.5167,71.38,78,40,0.0,BO,1681916053
263,svetlyy,54.675,20.1347,59.05,76,69,18.14,RU,1681916054
264,mili,6.0815,171.735,81.36,80,100,15.52,MH,1681916054
265,moose jaw,50.4001,-105.5344,30.47,100,100,24.16,CA,1681916056
266,ulsteinvik,62.3432,5.8487,61.7,61,20,8.59,NO,1681916056
267,kayangel,8.0823,134.7173,83.79,75,73,11.77,PW,1681916057
